Iteration,Solver,Time(ms),Steps
1,Greedy Best-First Search,8,15
1,A* Search,8,13
1,Recursive Solver (depth=50),116,13
2,Greedy Best-First Search,7,25
2,A* Search,8,15
2,Recursive Solver (depth=50),215,15
3,Greedy Best-First Search,4,11
3,A* Search,4,11
3,Recursive Solver (depth=50),57,11
4,Greedy Best-First Search,4,11
4,A* Search,4,11
4,Recursive Solver (depth=50),45,11
5,Greedy Best-First Search,3,15
5,A* Search,4,15
5,Recursive Solver (depth=50),75,15
6,Greedy Best-First Search,5,47
6,A* Search,5,15
6,Recursive Solver (depth=50),33407,37
7,Greedy Best-First Search,3,15
7,A* Search,4,15
7,Recursive Solver (depth=50),158,15
8,Greedy Best-First Search,23,15
8,A* Search,5,15
8,Recursive Solver (depth=50),178,19
9,Greedy Best-First Search,4,17
9,A* Search,4,15
9,Recursive Solver (depth=50),2760,29
10,Greedy Best-First Search,4,15
10,A* Search,4,15
10,Recursive Solver (depth=50),86,15
