Difficulty,Solver,Time(ms),Steps
1,Greedy Best-First Search,25,1
1,A* Search,19,1
2,Greedy Best-First Search,36,2
2,A* Search,21,2
3,Greedy Best-First Search,15,3
3,A* Search,37,3
4,Greedy Best-First Search,32,4
4,A* Search,32,4
5,Greedy Best-First Search,25,5
5,A* Search,21,5
6,Greedy Best-First Search,18,6
6,A* Search,17,6
7,Greedy Best-First Search,18,7
7,A* Search,18,7
8,Greedy Best-First Search,48,8
8,A* Search,23,8
9,Greedy Best-First Search,17,9
9,A* Search,18,9
10,Greedy Best-First Search,35,14
10,A* Search,29,10
11,Greedy Best-First Search,30,11
11,A* Search,17,11
12,Greedy Best-First Search,20,12
12,A* Search,17,12
13,Greedy Best-First Search,18,13
13,A* Search,19,13
14,Greedy Best-First Search,22,14
14,A* Search,58,14
15,Greedy Best-First Search,27,7
15,A* Search,16,7
16,Greedy Best-First Search,15,16
16,A* Search,18,16
17,Greedy Best-First Search,39,41
17,A* Search,15,17
18,Greedy Best-First Search,28,18
18,A* Search,35,18
19,Greedy Best-First Search,17,17
19,A* Search,19,17
20,Greedy Best-First Search,28,44
20,A* Search,27,20
