Difficulty,Trial,Solver,Time(ms),Steps,NodesExpanded,MemoryUsed(bytes),Seed,BoardState
1,1,Greedy Best-First Search,23,1,3,28514784,1746611419992,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 15]"
1,1,A* Search,15,1,3,27908032,1746611419992,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 15]"
1,2,Greedy Best-First Search,11,1,3,27911904,1746611420050,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 15]"
1,2,A* Search,10,1,3,27914944,1746611420050,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 15]"
1,3,Greedy Best-First Search,11,1,3,27562104,1746611420075,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 13, 14, 15, 12]"
1,3,A* Search,10,1,3,27556872,1746611420075,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 13, 14, 15, 12]"
1,4,Greedy Best-First Search,11,1,3,27906400,1746611420101,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 13, 14, 15, 12]"
1,4,A* Search,12,1,3,27897520,1746611420101,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 13, 14, 15, 12]"
1,5,Greedy Best-First Search,15,1,3,27559864,1746611420128,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 15]"
1,5,A* Search,12,1,3,27897232,1746611420128,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 15]"
2,1,Greedy Best-First Search,11,2,6,27559888,1746611420159,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
2,1,A* Search,12,2,6,27559840,1746611420159,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
2,2,Greedy Best-First Search,12,2,6,27556448,1746611420187,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
2,2,A* Search,10,2,6,27565048,1746611420187,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
2,3,Greedy Best-First Search,12,2,6,27219136,1746611420213,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
2,3,A* Search,11,2,6,27561608,1746611420213,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
2,4,Greedy Best-First Search,11,2,6,27900848,1746611420241,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
2,4,A* Search,11,2,6,27899040,1746611420241,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
2,5,Greedy Best-First Search,12,2,6,27559872,1746611420267,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
2,5,A* Search,10,2,6,27556088,1746611420267,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
3,1,Greedy Best-First Search,12,3,8,28245280,1746611420293,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 0, 12]"
3,1,A* Search,13,3,8,27218960,1746611420293,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 0, 12]"
3,2,Greedy Best-First Search,12,3,9,27903344,1746611420322,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 10, 12, 13, 14, 11, 15]"
3,2,A* Search,11,3,9,27559512,1746611420322,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 10, 12, 13, 14, 11, 15]"
3,3,Greedy Best-First Search,11,3,8,27900880,1746611420350,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 0, 13, 14, 11, 15]"
3,3,A* Search,11,3,8,27065200,1746611420350,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 0, 13, 14, 11, 15]"
3,4,Greedy Best-First Search,10,3,9,27902320,1746611420376,"[1, 2, 3, 4, 5, 6, 0, 8, 9, 10, 7, 12, 13, 14, 11, 15]"
3,4,A* Search,11,3,9,27900592,1746611420376,"[1, 2, 3, 4, 5, 6, 0, 8, 9, 10, 7, 12, 13, 14, 11, 15]"
3,5,Greedy Best-First Search,11,3,8,27556456,1746611420400,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 0, 13, 14, 11, 15]"
3,5,A* Search,10,3,8,28246544,1746611420400,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 0, 13, 14, 11, 15]"
4,1,Greedy Best-First Search,12,4,9,27899744,1746611420426,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 13, 14, 11, 0]"
4,1,A* Search,10,4,9,27901184,1746611420426,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 13, 14, 11, 0]"
4,2,Greedy Best-First Search,10,4,9,27562552,1746611420452,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 13, 14, 11, 0]"
4,2,A* Search,10,4,9,27559344,1746611420452,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 13, 14, 11, 0]"
4,3,Greedy Best-First Search,11,4,10,27561392,1746611420477,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]"
4,3,A* Search,11,4,10,27900720,1746611420477,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]"
4,4,Greedy Best-First Search,12,4,10,27889328,1746611420503,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]"
4,4,A* Search,12,4,10,27559832,1746611420503,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]"
4,5,Greedy Best-First Search,10,4,11,27564192,1746611420531,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]"
4,5,A* Search,10,4,11,27182704,1746611420531,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 11, 13, 14, 15, 12]"
5,1,Greedy Best-First Search,10,5,14,27564736,1746611420555,"[1, 0, 3, 4, 5, 2, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]"
5,1,A* Search,11,5,14,28249016,1746611420555,"[1, 0, 3, 4, 5, 2, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]"
5,2,Greedy Best-First Search,13,5,14,27888768,1746611420580,"[1, 2, 3, 4, 0, 5, 6, 8, 9, 10, 7, 12, 13, 14, 11, 15]"
5,2,A* Search,10,5,14,27889824,1746611420580,"[1, 2, 3, 4, 0, 5, 6, 8, 9, 10, 7, 12, 13, 14, 11, 15]"
5,3,Greedy Best-First Search,11,5,12,27557632,1746611420608,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 12, 0, 13, 11, 15]"
5,3,A* Search,10,5,12,27904208,1746611420608,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 12, 0, 13, 11, 15]"
5,4,Greedy Best-First Search,10,5,12,28245976,1746611420633,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 11, 0, 14, 15, 12]"
5,4,A* Search,11,5,12,27561640,1746611420633,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 11, 0, 14, 15, 12]"
5,5,Greedy Best-First Search,11,5,13,27559448,1746611420659,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 11, 13, 15, 0, 12]"
5,5,A* Search,11,5,13,27902304,1746611420659,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 11, 13, 15, 0, 12]"
6,1,Greedy Best-First Search,11,6,17,27894448,1746611420685,"[1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 10, 11, 13, 14, 15, 12]"
6,1,A* Search,13,6,17,27891696,1746611420685,"[1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 10, 11, 13, 14, 15, 12]"
6,2,Greedy Best-First Search,11,6,17,28237048,1746611420713,"[1, 2, 3, 4, 5, 6, 8, 11, 9, 10, 0, 7, 13, 14, 15, 12]"
6,2,A* Search,11,6,17,27218960,1746611420713,"[1, 2, 3, 4, 5, 6, 8, 11, 9, 10, 0, 7, 13, 14, 15, 12]"
6,3,Greedy Best-First Search,12,6,14,28679880,1746611420739,"[1, 2, 4, 8, 5, 6, 3, 0, 9, 10, 7, 11, 13, 14, 15, 12]"
6,3,A* Search,10,6,14,32333560,1746611420739,"[1, 2, 4, 8, 5, 6, 3, 0, 9, 10, 7, 11, 13, 14, 15, 12]"
6,4,Greedy Best-First Search,24,6,16,28308944,1746611420767,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 0, 11, 13, 15, 10, 12]"
6,4,A* Search,24,6,19,28385296,1746611420767,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 0, 11, 13, 15, 10, 12]"
6,5,Greedy Best-First Search,26,6,16,28357104,1746611420819,"[1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 15, 11, 13, 10, 14, 12]"
6,5,A* Search,24,6,16,28377384,1746611420819,"[1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 15, 11, 13, 10, 14, 12]"
7,1,Greedy Best-First Search,23,7,23,28329344,1746611420873,"[1, 2, 3, 4, 5, 7, 10, 8, 9, 6, 15, 11, 13, 14, 0, 12]"
7,1,A* Search,23,7,23,28286016,1746611420873,"[1, 2, 3, 4, 5, 7, 10, 8, 9, 6, 15, 11, 13, 14, 0, 12]"
7,2,Greedy Best-First Search,24,7,18,28148280,1746611420924,"[1, 0, 3, 4, 6, 2, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]"
7,2,A* Search,24,7,18,28427144,1746611420924,"[1, 0, 3, 4, 6, 2, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]"
7,3,Greedy Best-First Search,24,7,17,28334048,1746611420976,"[1, 3, 4, 0, 5, 2, 7, 8, 9, 6, 10, 12, 13, 14, 11, 15]"
7,3,A* Search,24,7,17,28298584,1746611420976,"[1, 3, 4, 0, 5, 2, 7, 8, 9, 6, 10, 12, 13, 14, 11, 15]"
7,4,Greedy Best-First Search,24,7,16,217001656,1746611421030,"[1, 0, 2, 3, 5, 6, 8, 4, 9, 10, 7, 12, 13, 14, 11, 15]"
7,4,A* Search,26,7,16,28334056,1746611421030,"[1, 0, 2, 3, 5, 6, 8, 4, 9, 10, 7, 12, 13, 14, 11, 15]"
7,5,Greedy Best-First Search,25,7,16,28283896,1746611421085,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 15, 11, 0, 10, 14, 12]"
7,5,A* Search,22,7,16,28316136,1746611421085,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 15, 11, 0, 10, 14, 12]"
8,1,Greedy Best-First Search,23,8,20,28345136,1746611421137,"[1, 2, 4, 8, 5, 6, 3, 11, 9, 10, 0, 7, 13, 14, 15, 12]"
8,1,A* Search,23,8,20,28258480,1746611421137,"[1, 2, 4, 8, 5, 6, 3, 11, 9, 10, 0, 7, 13, 14, 15, 12]"
8,2,Greedy Best-First Search,23,8,21,28280536,1746611421187,"[1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 15, 11, 13, 10, 14, 12]"
